productId,sku,fromDepartment,toCategory,decidedBy,alsoMatched,title
"cmszriaks013804ie7pem1xbr","809974","personal-care","shavers","title","","פליפס מכונת גילוח דגם S9974/35"
"cmszriahl012y04ieb6ld4a35","803002","personal-care","shavers","title","","פיליפס מכונת גילוח דגם X3003/02"
"cmszriain013104ie3mbyn5mg","805467","personal-care","shavers","title","","פיליפס מכונת גילוח S5467/17 רטוב יבש"
"cmszribcn014y04ieob53djf6","805527","personal-care","hair-straighteners","title","","רמינגטון מחליק שיער רחב קרמי דגם S5527"
"cmszrib1i014604ie95xbk41b","815626","personal-care","hair-dryers","title","","דייסון מייבש שיער דגם SUPERSONIC PROFESSIONAL HD18  - חדש"
"cmszrian3013f04ieqmqzqyeq","807061","personal-care","shavers","title","","WAHL מכונת גילוח יבש רטוב נטענת לתיום דגם 7061-916"
"cmszrib2t014904iegoboxjb9","814317","personal-care","hair-dryers","title","","WAHL מייבש שיער מקצועי 2200W BARBER דגם 4317-0470"
"cmszribfr015704iesr6zqpe7","817212","personal-care","hair-straighteners","title","","רוונטה מחליק שיער דגם CF-7212"
"cmszrialu013b04ievxek5kwe","809002","personal-care","shavers","title","","פיליפס מכונת גילוח דגם X9002/10"
"cmszribdn015104ieltfgqpeh","806077","personal-care","hair-straighteners","title","hair-curlers","רמינגטון מחליק שיער ומסלסל 2 ב 1 דגם S6077"
"cmszriapy013n04iep00ibga2","805642","personal-care","hair-clippers","title","","WAHL קוצץ שיער לאף והאוזנים 3 דגם 5642-135"
"cmszribep015404ielmhchhb5","810377","personal-care","hair-straighteners","title","","פיליפס מחליק שיער דגם BHS377/00"
"cmszrib7q014m04ie76m3naz9","810002","personal-care","hair-straighteners","title","","דייסון מחליק שיער Airstrait דגם HT-01 ניקל"
"cmszrib0g014304ieiq5d03d4","815624","personal-care","hair-dryers","title","","דייסון מייבש שיער דגם SUPERSONIC Nural HD16 ניקל - חדש"
"cmszriaz5014004ieh3v13cve","800651","personal-care","hair-clippers","title","","ארטרו ספרד מכונת תספורת מקצועית נטענת פוקר ARTERO M651 כסוף"
"cmszribbm014v04iegy2iqtvu","811510","personal-care","hair-straighteners","title","","רמינגטון מחליק שיער קרמי דגם S1510"
"cmszrias1013t04iexyakgzal","803000","personal-care","hair-clippers","title","","רמינגטון מכונת תספורת דגם HC3000"
"cmszrib6n014j04ie7ywuw9zs","818901","personal-care","hair-dryers","title","","רימנגטון מייבש שיער דגם AC8901 2300W"
"cmszriaow013k04iezisp3llk","0592","personal-care","shavers","title","","רמינגטון מכונת גילוח דגם R4002"
"cmszrib4f014c04ie8aj21cxq","817100","personal-care","hair-dryers","title","","רימנגטון מייבש שיער דגם AC7100 2100W"
"cmszrib9x014s04iestrtnr45","810213","personal-care","hair-dryers","description","","SHARK מברשת לייבוש ועיצוב השיער דגם HT213 SmoothStyle - חדש"
"cmszrib5k014g04ieefiwe8c9","810353","personal-care","hair-dryers","title","","SHARK מייבש שיער מהיר ועוצמתי דגם HD353 SpeedStyle - חדש"
"cmszrib8v014p04ies20em6me","811011","personal-care","hair-straighteners","title","","טופסון מחליק שיער קרמי דגם TP-2011"
